Off CD,Fo Name,Auth No,P/L Eff Dt,P/L exp Dt,Permit Status,Allotment Number,Allotment Name,Lvsk #,Lvsk Kind,Pd Beg Dt,Pd End Dt,Type Use,PL %,Aums
LLMTC02000,MILES CITY FIELD OFFICE,2502390,03/01/2009,02/28/2019,,00623,MURL UNIT,3,CATTLE,9/1/2000,12/15/2000,ACTIVE,100,10
LLMTC02000,MILES CITY FIELD OFFICE,2502392,03/01/2014,02/28/2024,,00033,MOSBY,5,CATTLE,3/1/2014,2/28/2015,CUSTODIAL,100,58
LLMTC02000,MILES CITY FIELD OFFICE,2502393,03/01/2012,02/28/2022,,00035,71 RANCH CO.,17,CATTLE,3/1/2012,2/28/2013,CUSTODIAL,100,211
LLMTC02000,MILES CITY FIELD OFFICE,2502394,09/10/2009,02/28/2019,,00492,MURPHY AND SON,1,CATTLE,3/1/2010,2/28/2011,CUSTODIAL,100,7
LLMTC02000,MILES CITY FIELD OFFICE,2502395,03/01/2008,02/28/2018,,00496,ALDINGER,6,CATTLE,3/1/1999,2/28/2000,CUSTODIAL,100,35
LLMTC02000,MILES CITY FIELD OFFICE,2502396,03/01/2015,02/28/2025,,00648,BROWN - WCSGD,6,CATTLE,3/1/2014,2/28/2015,CUSTODIAL,100,72
LLMTC02000,MILES CITY FIELD OFFICE,2502398,01/01/2015,12/31/2017,,00650,BLACK RANCH,24,CATTLE,3/1/2015,2/28/2016,CUSTODIAL,100,295
LLMTC02000,MILES CITY FIELD OFFICE,2502399,03/01/2006,02/28/2016,,00751,HAMILTON,1,CATTLE,3/1/2006,2/28/2007,CUSTODIAL,100,6
LLMTC02000,MILES CITY FIELD OFFICE,2502399,03/01/2006,02/28/2016,,00751,HAMILTON,17,CATTLE,4/16/2006,12/7/2006,ACTIVE,76,100
LLMTC02000,MILES CITY FIELD OFFICE,2502400,03/01/2012,02/28/2020,,00649,BROWNING,11,CATTLE,5/1/2012,11/6/2012,ACTIVE,100,69
LLMTC02000,MILES CITY FIELD OFFICE,2502400,03/01/2012,02/28/2020,,00649,BROWNING,2,CATTLE,3/1/2012,2/28/2013,CUSTODIAL,100,17
