Adm State,Admin Office,Field Office,Allotment Number,Allotment Name,Available For Grazing,Grazing Decision,Public Acres,Amp Text,Amp Implement Date,Management Stat Text,Auth No,Permitted Aums,Suspended Aums,Susp Use Temp
CO,LLCOF02000,ROYAL GORGE FO,05111,BIG BULL MTN,Y,,271,,,CUSTODIAL CATEGORY,0505317,15,12,
CO,LLCOF02000,ROYAL GORGE FO,05112,VICTOR PASS,Y,,58,,,CUSTODIAL CATEGORY,0505317,6,4,
CO,LLCOF02000,ROYAL GORGE FO,05115,CROSS CREEK,Y,,80,,,CUSTODIAL CATEGORY,0504989,5,4,0
CO,LLCOF02000,ROYAL GORGE FO,05116,GREEN MOUNTAIN NORTH,Y,,360,,,CUSTODIAL CATEGORY,0505326,24,0,0
CO,LLCOF02000,ROYAL GORGE FO,05117,BADITO,Y,,580,,,CUSTODIAL CATEGORY,0505575,4,0,
CO,LLCOF02000,ROYAL GORGE FO,05120,WEST SOMMERVILLE,Y,,500,AMP IMPLEMENTED,01/01/1984,IMPROVE CATEGORY,0501863,80,0,
CO,LLCOF02000,ROYAL GORGE FO,05121,GRIBBLE PARK,Y,,"4,745",AMP IMPLEMENTED,07/19/1993,IMPROVE CATEGORY,0505307,498,0,0
CO,LLCOF02000,ROYAL GORGE FO,05123,TWELVEMILE WOODS,Y,,"1,021",,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,05124,WEST GUFFEY,Y,,80,,,CUSTODIAL CATEGORY,0503164,8,0,
CO,LLCOF02000,ROYAL GORGE FO,05125,31 MILE MTN ALLOT.,Y,,"2,666",AMP IMPLEMENTED,09/03/1998,IMPROVE CATEGORY,0500232,273,0,0
CO,LLCOF02000,ROYAL GORGE FO,05128,SIEBERT,Y,,279,AMP IMPLEMENTED,02/01/1984,IMPROVE CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,05132,BEAVER CREEK,Y,,"6,676",,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,05134,ASHER GULCH,Y,,"4,670",AMP IMPLEMENTED,12/16/1993,IMPROVE CATEGORY,0500232,704,0,0
CO,LLCOF02000,ROYAL GORGE FO,05137,BLUE RIDGE,Y,,"1,350",,,CUSTODIAL CATEGORY,0504865,56,0,0
CO,LLCOF02000,ROYAL GORGE FO,05138,SHAWS PARK,Y,,40,,,CUSTODIAL CATEGORY,0504865,12,0,0
CO,LLCOF02000,ROYAL GORGE FO,05139,CARLIN GULCH,Y,,"1,624",AMP IMPLEMENTED,12/01/1982,IMPROVE CATEGORY,0504570,174,14,
CO,LLCOF02000,ROYAL GORGE FO,05141,ELEVENMILE CAN,Y,,"7,825",AMP IMPLEMENTED,05/21/1992,CUSTODIAL CATEGORY,0505330,"1,066",258,0
CO,LLCOF02000,ROYAL GORGE FO,05142,BIG BEAR,Y,,600,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,05144,EAST BOX CANYON,Y,,"1,435",AMP IMPLEMENTED,03/01/1982,MAINTAIN CATEGORY,0505265,202,0,0
CO,LLCOF02000,ROYAL GORGE FO,05147,CEDAR SPRINGS MTN,Y,,510,,,CUSTODIAL CATEGORY,0505337,19,0,0
CO,LLCOF02000,ROYAL GORGE FO,05148,IRON MTN,Y,,"1,100",,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,05151,TWELVEMILE PARK,Y,,227,,,CUSTODIAL CATEGORY,,,,
