Adm State,Admin Office,Field Office,Allotment Number,Allotment Name,Available For Grazing,Grazing Decision,Public Acres,Amp Text,Amp Implement Date,Management Stat Text,Auth No,Permitted Aums,Suspended Aums,Susp Use Temp
AZ,LLAZG02000,TUCSON FO,06085,SAN LUIS MOUNTAIN,Y,,408,,,CUSTODIAL CATEGORY,0202686,84,,
AZ,LLAZG02000,TUCSON FO,06089,BABOQUIVARI,Y,,839,,,MAINTAIN CATEGORY,,,,
AZ,LLAZG02000,TUCSON FO,06093,HAY HOOK,Y,,"4,762",,,MAINTAIN CATEGORY,0200115,384,,
AZ,LLAZG02000,TUCSON FO,06099,SLEEPING BEAUTY MTN.,Y,,151,,,CUSTODIAL CATEGORY,0202700,121,0,0
AZ,LLAZG02000,TUCSON FO,06100,ANVIL,Y,,"2,577",,,CUSTODIAL CATEGORY,0202701,144,,
AZ,LLAZG02000,TUCSON FO,06101,HILL TOP,Y,,693,,,IMPROVE CATEGORY,0202702,84,,
AZ,LLAZG02000,TUCSON FO,06111,HORSETRACK,Y,,"9,923",,,MAINTAIN CATEGORY,0200004,"1,224",0,
AZ,LLAZG02000,TUCSON FO,06113,COCHRAN,Y,,726,,,CUSTODIAL CATEGORY,0200005,168,0,
AZ,LLAZG02000,TUCSON FO,06115,DEMETRIE WASH,Y,,215,,,CUSTODIAL CATEGORY,0202716,24,,
AZ,LLAZG02000,TUCSON FO,06117,KEARNY,Y,,"1,038",,,CUSTODIAL CATEGORY,0202661,108,,
AZ,LLAZG02000,TUCSON FO,06119,BLACK HILLS,Y,,"3,082",,,CUSTODIAL CATEGORY,0202720,408,,
AZ,LLAZG02000,TUCSON FO,06120,A DIAMOND,Y,,"6,336",,,MAINTAIN CATEGORY,0200052,696,0,0
AZ,LLAZG02000,TUCSON FO,06121,RAIL X,Y,,440,,,CUSTODIAL CATEGORY,0202722,40,,
AZ,LLAZG02000,TUCSON FO,06123,WILLOW SPRINGS,Y,,480,AMP PROPOSED,,CUSTODIAL CATEGORY,0202724,96,0,
AZ,LLAZG02000,TUCSON FO,06124,ANTELOPE,Y,,320,,,CUSTODIAL CATEGORY,0202725,36,,
